country,stage,signal,source,strategic_question,action
米国,滞在,長期滞在と広域周遊を確認する,宿泊統計・消費動向,滞在日数と訪問地域が伸びているか,周遊ルートと体験予約を整備
米国,再訪,体験品質と口コミが次の検討に影響する,口コミ・満足度,期待値とのギャップがないか,英語情報と予約体験を改善
タイ,認知,日本旅行への憧れと季節性が強い,SNS・Google Trends,桜や雪など季節関心が上がっているか,季節テーマを早めに訴求
タイ,検討,為替と航空便が旅行判断に影響する,為替・航空便・旅行メディア,旅行費用の負担感が増えていないか,価格帯別のモデルコースを出す
タイ,予約,連休や学校休暇に合わせた予約が動く,宿泊予約・旅行会社,休暇前に予約が伸びているか,休暇カレンダーに合わせて出稿
タイ,来訪,前年比と季節波動を見る,JNTO訪日外客統計,季節需要が取り込めているか,季節イベントと地方誘客を連動
タイ,滞在,雪・自然・買い物など目的別に見る,宿泊統計・都道府県訪問率,訪問目的に合う地域へ来ているか,テーマ別に地域を推薦
タイ,再訪,体験共有が次の需要を作る,SNS・口コミ,話題化する体験があるか,写真映えと体験型商品の導線を整える
豪州,認知,スキー・自然・長期休暇の関心が入口になる,Google Trends・旅行メディア,季節スポーツや自然体験の検索が伸びているか,冬季と自然体験を前面に出す
豪州,検討,長距離旅行のため航空便と滞在価値が重要,航空便・為替,航空供給が需要を支えているか,長期滞在向けの広域ルートを訴求
豪州,予約,早期予約と季節需要が重なりやすい,宿泊予約・航空予約,冬季や休暇期の予約が先行しているか,季節別に早期販売を強化
豪州,来訪,人数と季節集中を確認する,JNTO訪日外客統計,冬季偏重が強すぎないか,季節分散の余地を探る
豪州,滞在,地方滞在と体験消費を確認する,宿泊統計・消費動向,広域周遊と消費単価が伸びているか,自然・アクティビティ地域へ送客
豪州,再訪,体験満足度が口コミで広がる,口コミ・満足度,滞在体験の評価が高いか,現地目線の体験情報を増やす
シンガポール,認知,高所得層と短期休暇の需要がある,SNS・旅行メディア,高付加価値旅行への関心があるか,上質な食・宿泊・体験を訴求
シンガポール,検討,航空便と価格よりも体験価値が効きやすい,航空便・旅行メディア,競合旅行先と比べた魅力があるか,目的別の高品質ルートを提示
シンガポール,予約,休暇時期と宿泊グレードを確認する,宿泊予約・OTA,高単価宿泊の予約があるか,高付加価値商品を目立たせる
シンガポール,来訪,人数規模と単価を合わせて見る,JNTO訪日外客統計・消費動向,人数以上に消費機会があるか,少人数高単価市場として扱う
シンガポール,滞在,都市・食・自然体験の組み合わせを見る,宿泊統計・都道府県訪問率,地方や高付加価値体験に広がっているか,テーマ型周遊を設計
シンガポール,再訪,新しい体験の提示が再訪を促す,SNS・口コミ,リピーターに新鮮さを出せているか,季節ごとに体験を入れ替える
